System,System_ID,PACCAR_ID,Address,Name,City,Region,Country,Postal_Code
CASS,W,6888,1 BAPTIST LINE RD,ALABAMA CASTING LLC,ALICEVILLE,AL,US,35442
CASS,T,23572AA,1 BATTERYMARCH PARK,NATIONAL FIRE PROTECTION ASSOC,QUINCY,MA,US,2169
PTS,,23572AA,1 BATTERYMARCH PARK,NATIONAL FIRE PROTECTION ASSOC,QUINCY,MA,USA,2169
SAP S4,SAP S4,304731,1 BELMAR RD,EDWARD SIMMONS,HATBORO,PA,US,19040
CASS,T,UNK,1 BETHLEY DRIVE,GASMET TECH INC.,SCARBOROUGH,ON,CA,M1E3M6
CASS,P,UNK,1 BLAIR MOUNTAIN ROAD,RL LIVINSTON EXCAV,DILLSBURG,PA,US,17019
CASS,T,21122AA,1 BOSAL WAY,BOSAL,LAVONIA,GA,US,30553
PTS,,21122AA,1 BOSAL WAY,BOSAL,LAVONIA,GA,USA,30553
SAP S4,SAP S4,305584,1 BOULEVARD BOUTHILLIER,RENO-DEPOT ROSEMERE,ROSEMERE,QC,CA,J7A 4S7
SAP S4,SAP S4,302812,1 BROOKINGS DRIVE,WASHINGTON UNIVERSITY IN ST LOUIS,ST LOUIS,MO,US,63130
CASS,P,UNK,1 BROWN STONE AVE,VALLEY OIL,PORTLAND,CT,US,6480
CASS,T,16352AE,1 BURT DRIVE,SOUNDCOAT COMPANY,DEER PARK,NY,US,11729
CASS,P,16365AE117,1 BURT DRIVE,SOUNDCOAT COMPANY,DEER PARK,NY,US,11729
PTS,,16352AE,1 BURT DRIVE,SOUNDCOAT COMPANY,DEER PARK,NY,USA,11729
PTS,,16365AE,1 BURT DRIVE,SOUNDCOAT COMPANY,DEER PARK,NY,USA,11729
PTS,,16365AE117,1 Burt Drive,Soundcoat Company,DEER PARK,NY,USA,11729
SAP S4,SAP S4,16365AE,1 BURT DRIVE,SOUNDCOAT,DEERPARK,NY,US,11729
Winch,,8605,1 CAPITOL DR,ALTORFER INC,EAST PEORIA,IL,US,61611
KW Australia,,7417505,1 Carribean Drive,J. Blackwood & Son Ltd,SCORESBY,VIC,AU    ,3179
CASS,W,3579,1 CHASE CORP DR SUITE 300,VULCAN PUBLICATIONS,BIRMINGHAM,AL,US,35244
PTS,,3579,"1 CHASE CORP DR, SUITE 300",VULCAN PUBLICATIONS,BIRMINGHAM,AL,USA,35244
