System,System_ID,PACCAR_ID,Address,Name,City,Region,Country,Postal_Code
PTS,,02721AB,2151 INDUSTRIAL DRIVE,SUPERIOR TRIM - FINDLAY,FINDLAY,OH,USA,45839
PTS,,02721AB458,2151 Industrial Drive,Superior Trim-2151 Findlay OH,FINDLAY,OH,USA,45840
CASS,P,UNK,2153 DALLAS PIKE,EQUIPMENT TRANSPORT,TRIADELPHIA,WV,US,26059
CASS,P,UNK,2153 W 42ND ST,TAYLOR BOOY WORKS,ODESSA,TX,US,79764
SAP S4,SAP S4,302260,"2153 WEALTHY ST SE, SUITE 238",ARCHETONOMY LLC,GRAND RAPIDS,MI,US,49506
SAP S4,SAP S4,305788,2154 CHEMIN GASCON,LA CITE DE L ASPIRATEUR,TERREBONNE,QC,CA,J6X 3A1
SAP S4,SAP S4,303322,2154 HESWALL CRT,ECOPOINT INC,MISSISSAUGA,ON,CA,L5H 3M9
CASS,P,UNK,21540 HAMBURG AVE,AIRLAKE TRUCK BODY & PAINT INC,LAKEVILLE,MN,US,55044
SAP S4,SAP S4,302146,21549 SHOREVISTA LANE,THINK PARTS 4U LLC,NOBLESVILLE,IN,US,46062-6793
SAP S4,SAP S4,303215,2155 BISHOP CIRCLE E,SIKO PRODUCTS INC,DEXTER,MI,US,48130
CASS,T,UNK,2155 MEADOW LN,DONS SPEC,GOODLETTSVILLE,TN,US,37072
CASS,P,K420073,2155 ROARK RD,INGRAM BACKHOE,COTTONDALE,FL,US,32431
CASS,W,331,2155 TRAVERSE FIELD DRIVE,I T W WORK HOLDING,TRAVERSE CITY,MI,US,49686
PTS,,331,2155 TRAVERSE FIELD DRIVE,I.T.W. WORK HOLDING,TRAVERSE CITY,MI,USA,49686
CASS,T,UNK,21555 MULIN,SCION STEEL,WARREN,MI,US,48089
CASS,W,B0096,21555 SOUTHWEST OREGON ST,ALLIED SYS CO,SHERWOOD,OR,US,97140
CASS,W,6666,21556 WEST 20TH STREET S,BARTLEY CONSTRUCTION,SAND SPRINGS,OK,US,74063
PTS,,6666,21556 WEST 20TH STREET S,BARTLEY CONSTRUCTION,SAND SPRINGS,OK,USA,74063
SAP S4,SAP S4,304351,"215-6661 DIXIE HWY, STE 4",NESTLE WATERS NAMERICA,LOUISVILLE,KY,US,40285-0668
CASS,T,UNK,2157 HIGHWAY 16,SOUTHERN HAULERS,CALERA,AL,US,35040
CASS,T,23787AA,2159 E CHESNUT EXPRESSWAY,SOUTHWEST INDUSTRIAL SUPPLY,SPRINGFIELD,MO,US,65802
PTS,,23787AA,2159 E CHESNUT EXPRESSWAY,SOUTHWEST INDUSTRIAL SUPPLY,SPRINGFIELD,MO,USA,65802
CASS,P,UNK,21595 DELORISE WAY NE,WESTERN MOUNTAIN TRS,AURORA,OR,US,97002
CASS,P,UNK,21599 US HWY 17,MEDEK ENTERPRISES,TOWNSEND,GA,US,31331
SAP S4,SAP S4,306947,216 E MILL ST,DIGILUBE SYSTEMS INC,SPRINGBORO,OH,US,45066-1614
SAP S4,SAP S4,302757,"216 EAST 45TH STREET, SUITE 901",SAINT GEORGE'S SOCIETY,NEW YORK,NY,US,10017-3304
CASS,W,5885,216 N QUAPAH,ALL TOOLS,OKLAHOMA CITY,OK,US,73107
PTS,,5885,216 N QUAPAH,ALL TOOLS,OKLAHOMA CITY,OK,USA,73107
CASS,P,K420027,216 RACETRACK RD NW,CEMEX READY MIX USA,FORT WALTON BEACH,FL,US,32547
CASS,P,UNK,216 ROUTE 105,ERIC FLANSBERRYS,EGAN SUD,PQ,CA,J9E3A9
SAP S4,SAP S4,305231,216 S 4TH ST,DOUGLAS PARKING LLC,LAS VEGAS,NV,US,89101
SAP S4,SAP S4,14078AA,216 S TORRENCE ST,DAYTON AIR CONTROL PRODUCTS,DAYTON,OH,US,45403
BAAN,BAAN,14078AA,216 S. TORRENCE ST,DAYTON AIR CONTROL PRODUCTS LLC,DAYTON,OH    ,US    ,45403
CASS,P,UNK,216 THORNTON DR,SHEPLEY WOOD PRODUCTS INC,MYANNIS,MA,US,2601
SAP S4,SAP S4,P127,216 W DIVERSEY AVE,JX TRUCK CENTER - BENSENVILLE,ELMHURST,IL,US,60126-1104
CASS,P,UNK,216 WEST DIVERSEY AVE,JX PETERBILT ELMHURST,ELMHURST,IL,US,60126
PTS,,P127,216 West Diversey Ave,JX Peterbilt-Elmhurst,ELMHURST,IL,USA,60126
SAP S4,SAP S4,305789,2160 CHEMIN PRINCIPAL,AUTRE CHOSE FORMATION,SAINT-JOSEPH-DU-LAC,QC,CA,J0N 1M0
CASS,T,UNK,2160 COOPER DR,DALE BROWN INC,ARDMORE,OK,US,73401
CASS,P,O975,2160 COOPER DR,MHC KENWORTH,ARDMORE,OK,US,73401
PTS,,O975,2160 Cooper Drive,MHC Kenworth - Ardmore,ARDMORE,OK,USA,73401
SAP S4,SAP S4,M251,2160 HOTEL RD,WHITED PB OF MAINE - AUBURN,AUBURN,ME,US,4210
CASS,P,M251,2160 HOTEL RD,WHITED PETERBILT OF MAINE,AUBURN,ME,US,4210
PTS,,M251,2160 Hotel Rd,Whited Peterbilt of Maine,AUBURN,ME,USA,4210
SAP S4,SAP S4,L140,2160 RT 322,LIBERTY KENWORTH HINO TRUCK SA,SWEDESBORO,NJ,US,8085
CASS,P,L140,2160 RT 322,LIBERTY KW OF SOUTH JERSEY,SWEDESBORO,NJ,US,8085
PTS,,L140,2160 RT. 322,Liberty KW of South Jersey,SWEDESBORO,NJ,USA,8085
CASS,P,UNK,2160 WILLIAMS PKWY,EATON INDUSTRIES,BRAMPTON,ON,CA,L6S5X7
SAP S4,SAP S4,307170,21605 GATEWAY CT,ARTOS ENGINEERING CO,BROOKFIELD,WI,US,53045
Winch,,7913,2161 N. LARGO ROAD STE. E,RTS RELIABLE TRANSPORT SERVICE,TULSA,OK,US,74115
SAP S4,SAP S4,303004,21615 SW TUALATIN VALLEY,ASTRO TOOL CORPORATION,BEAVERTON,OR,US,97003
Winch,,8430,21630 E. 102ND STREET,"EXECON, INC.",BROKEN ARROW,OK,US,74014
CASS,P,UNK,2164 N MIST DR,BIGHRON LOGGIN CORP,VERNONIA,OR,US,97064
SAP S4,SAP S4,302151,"21650 OXNARD STREET, SUITE 500",BRUTZKUS GUBNER ROZANSKY SEROR,WOODLAND HILLS,CA,US,91367-0000
SAP S4,SAP S4,300655,"2166 N SALEM STREET, SUITE 101",COMPUTATIONAL ENGRNG INTL INC,APEX,NC,US,27523
CASS,T,21320AB,21660 EAST COPLEY DRIVE,IMPRO INDUSTRIES USA INC,DIAMOND BAR,CA,US,91765
PTS,,21320AB,"21660 EAST COPLEY DRIVE, SUITE 225",IMPRO INDUSTRIES USA INC.,DIAMOND BAR,CA,USA,91765
SAP S4,SAP S4,304922,21661 SHILLINGSBURG AVE,RICHARD MCCLERKIN,SAN JOSE,CA,US,95120
SAP S4,SAP S4,302568,2167 NORTHDALE BOULEVARD,DEKRA AQS SOLUTIONS,MINNEAPOLIS,MN,US,55433
CASS,P,UNK,2168 SOUTH LIVE OAK DRIVE,ELITE TOWING,MONCKS CORNER,SC,US,29461
CASS,P,21362AA,2168 SPRINGFIELD RD,HERD NORTH AMERICA,WINNIPEG,MB,CA,R2C2Z2
CASS,T,79955AA,2169 EAST BLAINE,TRAIL LINER,SPRINGFIELD,MO,US,65803
PTS,,79955AA,2169 EAST BLAINE,TRAIL LINER,SPRINGFIELD,MO,USA,65803
CASS,P,21628AA446,217 COMMERCIAL AVE SE,BEZARES USA,NEW PHILADELPHIA,OH,US,44663
CASS,P,1R18,217 HOBBS STREET SUITE 103,WELLER TRUCK PARTS TAMPA,TAMPA,FL,US,33619
PTS,,1R18,217 Hobbs Street Suite 103,Weller Truck Parts-Tampa,TAMPA,FL,USA,33619
CASS,T,31112AA,217 NORTH DOOLEY ROAD,SKYPATH SATELLITE SYS INC,GRAPEVINE,TX,US,76051
PTS,,31112AA,217 NORTH DOOLEY ROAD,SKYPATH SATELLITE SYS.INC,GRAPEVINE,TX,USA,76051
CASS,W,NB6930,217 PATENAUDE DR,BADGER EQUIPMENT,WINONA,MN,US,55987
CASS,W,1208,2170 SOUTH SHERIDAN,LAPLANTE MEDICAL SUPPLY CO,TULSA,OK,US,74129
PTS,,1208,2170 SOUTH SHERIDAN,LAPLANTE MEDICAL SUPPLY CO.,TULSA,OK,USA,74129
CASS,W,UNK,21700 MARK COLLINS DR,STEEL KING CO WSI,SAUK VILLAGE,IL,US,60411
CASS,P,08194FC465,21700 PROTECTA DRIVE,HENDRICKSON STAMPING CO MEDALL,ELKHART,IN,US,46516
PTS,,08194FC465,21700 Protecta Drive,Hendrickson Stamping C/O Medallion,ELKHART,IN,USA,46516
SAP S4,SAP S4,305790,21700 ROUTE TRANSCANADIENNE,CHATEAU VAUDREUIL,VAUDREUIL-DORION,QC,CA,J7V 8P3
PTS,,A102,21701 John Deer Lane,Allstate PB of Rogers,ROGER,MN,USA,55374
CASS,P,A102,21701 JOHN DEERE LN,ALLSTATE PB OF ROGERS,ROGERS,MN,US,55374
SAP S4,SAP S4,302156,21706 66TH AVE W,LUMENAL LIGHTING LLC,MOUNTLAKE TERRACE,WA,US,98043
SAP S4,SAP S4,302500,2171 RESEARCH DRIVE,QUAIL ELECTRONICS,LIVERMORE,CA,US,94550
SAP S4,SAP S4,305791,2171 ROUTE 133,LAPS SONORISATION,SAINT-JEAN-SUR-LE-RICHELIEU,QC,CA,J2X 4P3
CASS,P,UNK,2172 E 7TH ST,CITY OF LOS ANGELES GEN SERVICE,LOS ANGELES,CA,US,90023
SAP S4,SAP S4,302168,2173 HELMSFORD DRIVE,PATRICIA A. OAKLEY,WOLVERINE LAKE,MI,US,48390
CASS,P,UNK,2173 W 850 N,SIX STATES DISTRIBUTORS 7,CEDAR CITY,UT,US,84721
CASS,P,UNK,2175 LARSON ROAD,BUSS WELDING&MACHINE SHOP,TILLAMOOK,OR,US,97141
Winch,,8334,2175 POINT BOULEVARD SUITE 375,"HERITAGE-CRYSTAL CLEAN, LLC",ELGIN,IL,US,60123
SAP S4,SAP S4,304507,"21755 INTERSTATE 45, BLDG 10",ELECTRA LINK INC,SPRING,TX,US,77388
CASS,T,UNK,21757 PLATIEVIEW RD,HARRIS QUALITY INC,GRETNA,NE,US,68028
CASS,P,UNK,2176 MAIN ST,CRAWFORD TRUCK SALES,LANCASTER,MA,US,1523
SAP S4,SAP S4,W784,2177 E WILLIAMS RD,US XPRESS - COLUMBUS,OBETZ,OH,US,43207
CASS,P,UNK,2178 HILIGHT RD,VIKING EXPLOSIVES,GILLETTE,WY,US,82718
CASS,W,3837,2179 SUMMERPARK CT,PROFILES MARKETING,THOUSAND OAKS,CA,US,91362
PTS,,3837,2179 SUMMERPARK CT.,PROFILES & MARKETING,THOUSAND OAKS,CA,USA,91362
CASS,P,P116068,21799 OWL DR,RICHARD MOORE,LABANON,MO,US,65536
CASS,P,P11635,218 BREONS LANE,RAY A WALKER,PLEASANT GAP,PA,US,16823
SAP S4,SAP S4,303066,218 BYRON DRIVE,JACOBUS VAN RENSBERG,RICHMOND HILL,GA,US,31324
SAP S4,SAP S4,302161,218 COMMERCE STREET,BEASLEYALLENCROWMETHVIN PORTIS AND,MONTOGOMERY,AL,US,36104
CASS,W,5152,218 EAST 6TH,JONES FURNITURE,OKMULGEE,OK,US,74447
PTS,,5152,218 EAST 6TH,JONES FURNITURE,OKMULGEE,OK,USA,74447
CASS,P,UNK,218 INSUSTRY ROAD,SOUTHERN COLLISION,KINGSVILLE,ON,CA,N9Y1T9
CASS,P,41552,218 MAIN ST,TAYLOR AUTOMOTIVE,OHATCHEE,AL,US,36271
SAP S4,SAP S4,302684,218 N COLLEGE AVENUE,UNIVERSITY OF RIO GRANDE,RIO GRANDE,OH,US,45674
SAP S4,SAP S4,302166,218 N.P. AVENUE PO BOX 1389,VOGEL LAW FIRM LTD,FARGO,ND,US,58107-1389
CASS,P,C675,218 RED CAN DR,MYERS CONTAINER SERVICE CORP,COLCHESTER,VT,US,5446
CASS,P,UNK,218 SOUTH BAKER ST,218 SOUTH BAKER ST,FOUR OAKS,NC,US,27524
CASS,P,UNK,218 STEARNS DR,GATR VOLVO,SAUK RAPIDS,MN,US,56379
CASS,W,UNK,218 VIRGIL H GOODE HWY,TRMBERLAND TRUCK SALES CORP,BASSETT,VA,US,24055
SAP S4,SAP S4,303834,218 W CHUBBUCK RD,MIKE BAKER TRUCKING,POCATELLO,ID,US,83202
SAP S4,SAP S4,301017,2180 HORNIG ROAD,PEI-GENESIS INC,PHILADELPHIA,PA,US,19116-4289
SAP S4,SAP S4,A102,21800 JOHN DEERE LN,ALLSTATE PB OF ROGERS,ROGERS,MN,US,55374
SAP S4,SAP S4,Y948,21800 JOHN DEERE LN,ALLSTATE PB ROGERS-DSFW,ROGERS,MN,US,55374
CASS,P,Z074,21800 JOHN DEERE LN,ALLSTATE PETERBILT NORTH C,ROGERS,MN,US,55374
CASS,T,19735AA,21801 INDUSTRIAL BLVD,LTI FLEXIBLE PRODUCTS,ROGERS,MN,US,55374
CASS,P,19735AA553,21801 INDUSTRIAL BLVD,LTI FLEXIBLE PRODUCTS,ROGERS,MN,US,55374
PTS,,19735AA,21801 INDUSTRIAL BLVD,LTI FLEXIBLE PRODUCTS,ROGERS,MN,USA,55374
PTS,,19735AA553,21801 Industrial Blvd,LTI Flexible Products,ROGERS,MN,USA,55374
PTS,,19835AA,21801 INDUSTRIAL BLVD,LTI FLEXIBLE PRODUCTS,ROGERS,MN,USA,55374
PPD Australia,,6010430,21801 Industrial Blvd,LTI Boyd Corp (Previously LTI Flexible),ROGERS,MN,US    ,55374
KW Australia,,6040430,21801 Industrial Blvd,LTI Flexible Products,ROGERS,MN,US    ,55374
CASS,P,E900100,21814 76TH AVENUE SOUTH,INTERSEM LLC,KENT,WA,US,98032
SAP S4,SAP S4,303115,21818 SHANNON LANE,NASSER ZAMANI,WEST LINN,OR,US,97068
SAP S4,SAP S4,305406,21822 NE FAIRVIEW LAKE WY,DAN GOSLIN,FAIRVIEW,OR,US,97024
CASS,T,31454A,2183 ALPINE WAY,QUALNETICS CORPORATION,BELLINGHAM,WA,US,98226
PTS,,31454A,2183 ALPINE WAY,QUALNETICS CORPORATION,BELLINGHAM,WA,USA,98226
CASS,P,UNK,2184 COLDWATER RD,ACE ASPHALT,FLINT,MI,US,48439
CASS,T,UNK,21850 GEORGIA HWY 85,COMPLETE TRUCK BODIES,GAY,GA,US,3218
CASS,P,P638,2187 CHESNEE HWY,PACLEASE TRUCK SALES,SPARTANBURG,SC,US,29303
SAP S4,SAP S4,305354,21870 SAND HILL RD,TIM E GILBERTSON,PLATTEVILLE,WI,US,53818
CASS,T,08850AB,2188 E HWY 380,IMPERIAL FABRICATING CO,DECATUR,TX,US,76234
CASS,P,08850AB762,2188 E HWY 380,IMPERIAL FABRICATING CO,DECATUR,TX,US,76234
PTS,,08850AB,2188 E HWY 380,IMPERIAL FABRICATING CO.,DECATUR,TX,USA,76234
PTS,,08850AB762,2188 E. HWY 380,Imperial Group-Decatur TX,DECATUR,TX,USA,76234
CASS,T,PD22,2188 EAST 380 HWY BLD 2,PETERBILT DENTON CO IMPERIAL,DECATUR,TX,US,76234
PTS,,PD22,"2188 US-380 E, BLD 2",PB DENTON c\o IMPERIAL (PD22),DECATUR,TX,USA,76234
CASS,P,UNK,21880 SW FARMINGTON ROAD,BAKER ROCK,BEAVERTON,OR,US,97007
CASS,P,UNK,2189 INTERSTATE 35,RUSH TRUCK CENTER COTULLA,COTULLA,TX,US,78014
CASS,P,N908 007,2189 LUNBECK RD,MHC KENWORTH,CHILLICOTHE,OH,US,45601
CASS,P,S053 001,2189 LUNBECK RD,MHC PDI CENTER,CHILLICOTHE,OH,US,45601
SAP S4,SAP S4,303535,21890 RUNNING DEER TRL,DAVID J HOLT,PIEDMONT,SD,US,57769
SAP S4,SAP S4,302550,"219 EAST MAIN STREET, SUITE 117",EESIFLO INC,MECHANICSBURG,PA,US,17055
CASS,W,6015,219 JEFFERSON ST LOWER LEVEL,THE GENESIS GROUP,MONTGOMERY,IL,US,60538
PTS,,6015,219 JEFFERSON ST. LOWER LEVEL,THE GENESIS GROUP,MONTGOMERY,IL,USA,60538
CASS,T,29990AA,219 KAY INDUSTRIAL DRIVE,APPLIED MFG TECHNOLOGIES,ORION,MI,US,48359
PTS,,29990AA,219 KAY INDUSTRIAL DRIVE,APPLIED MFG. TECHNOLOGIES,ORION,MI,USA,48359
CASS,W,7150,219 N RAILROAD,PRECISION ENGR AND MACHINE,MARLOW,OK,US,73055
PTS,,7150,219 N. RAILROAD,PRECISION ENGR. AND MACHINE,MARLOW,OK,USA,73055
SAP S4,SAP S4,302171,219 SEQUOYAH TRAIL,CHEMTRAX DATA PROCESSING,HENDERSONVILLE,TN,US,37075
SAP S4,SAP S4,303472,219 SLATE DRIVE,KENNETH KOVASH,BISMARCH,ND,US,58503
SAP S4,SAP S4,304829,219 SOUTH SERVICE RD WEST,HANDLING SPECIALTY MFG,GRIMSBY,ON,CA,L3M 4G1
SAP S4,SAP S4,305792,2190 BOULEVARD HYMUS,LOCATION BROSSARD INC,DORVAL,QC,CA,H9P 1J7
CASS,T,UNK,2190 CREEKSIDE PARKWAY,CONTINENTAL TIRE,LOCKBOURNE,OH,US,43137
CASS,P,UNK,2190 N HWY,LAWSON AND LAWSON,COLVILLE,WA,US,99114
CASS,P,UNK,2190 WILLIAMS PARKWAY EAST,CARBON STEEL PROFILES,BRAMPTON,ON,CA,L6S5X7
SAP S4,SAP S4,306376,21905 64TH AVE W STE 100,"TERRACON CONSULTANTS, INC",MOUNTLAKE TERRACE,WA,US,98043-2251
SAP S4,SAP S4,304794,21906 SCHOENHERR,RUSS SIMPSON CO INC,WARREN,MI,US,48089
SAP S4,SAP S4,303775,21910 ROBERTS CEMETERY RD,VERNON R. MORRIS,HOCKLEY,TX,US,77447
CASS,P,UNK,2192 N BATAVIA ST,BB TILE AND STONE,ORANGE,CA,US,92865
CASS,W,1322,21929 MAKAH RD,COMPUTER KEYES,WOODWAY,WA,US,98020
PTS,,1322,21929 MAKAH RD,COMPUTER KEYES,WOODWAY,WA,USA,98020
SAP S4,SAP S4,300091,21929 MAKAH ROAD,COMPUTER KEYES,WOODWAY,WA,US,98020
CASS,P,UNK,2193 HWY 45 SOUTH,BURKHALTER RIGGING,COLUMBUS,MS,US,39701
CASS,P,P11611,21930 S 520 RD,ROUTE 66 TRUCK TRAILER,AFTON,OK,US,74331
SAP S4,SAP S4,302176,21932 SE MAY VALLEY ROAD,DAVID R HOSTENSKE,ISSAQUAH,WA,US,98027
PTS,,21526AA,21944 DRAKE RD,EBERHARD MANUFACTURING CO,STRONGSVILLE,OH,USA,44149
CASS,T,21526AA,21944 DRAKE RD,EBERHARD MANUFACTURING CO,STRONGVILLE,OH,US,44149
KW Australia,,6250590,21944 DRAKE ROAD,EBERHARD MANUFACTURING COMPANY,CLEVELAND,OH,US    ,441499712
SAP S4,SAP S4,21526AA,21944 DRAKE ROAD,EBERHARD MANUFACTURING CO,STRONGSVILLE,OH,US,44149
BAAN,BAAN,21526AA,21944 DRAKE ROAD,EBERHARD MANUFACTURING COMPANY,STRONGSVILLE,OH    ,US    ,44149
PTS,,21526AA441,21944 Drake Road,Eberhard Manufacturing,STRONGSVILLE,OH,USA,44149
CASS,P,D806,2195 W COUNTY RD C2 W,NUSS TRUCK EQUIPMENT,ROSEVILLE,MN,US,55113
CASS,P,UNK,21950 HOOVER RD,BLUE STAR DEMOLITION,WARREN,MI,US,48089
SAP S4,SAP S4,W658,2196 1/2 E MANUFACTURES BLVD,WAL-MART - BROOKHAVEN,BROOKHAVEN,MS,US,39601
CASS,P,UNK,2196 BENNETT RD,BENNETT TRUCK LEASING,PHILADELPHIA,PA,US,19116
CASS,D,UNK,2196 PORT SHELDON RD,ADVANTAGE IND INC,JENISON,MI,US,49428
SAP S4,SAP S4,304748,2197 EAST BAYSHORE ROAD,DEEPMAP INC,PALO ALTO,CA,US,94303
CASS,T,UNK,21980 KENRICK AVE,MIDLAND EQUIPMENT,LAKEVILLE,MN,US,55044
SAP S4,SAP S4,305793,2199 CR DE LA SABLONNIERE,WEST ISLE INDUSTRIES LTD,SAINT-LAZARE,QC,CA,J7T 2E1
SAP S4,SAP S4,301664,21993 GRIP ROAD,AQUA TERR SYSTEMS INC,SEDRO WOOLLEY,WA,US,98284
SAP S4,SAP S4,305794,21-C RUE BLAINVILLE OUEST,TAXI 7000,SAINTE-THERESE,QC,CA,J7E 1X1
CASS,D,UNK,22 AIRLINE DRIVE,KENWORTH NORTHEAST GROUP,ROCHESTER,NY,US,14624
CASS,P,UNK,22 BLACK HAWK LANE,WOLFPAK TRANSPORT,ELIZABETHTOWN,PA,US,17022
SAP S4,SAP S4,305795,22 BOULEVARD JOHN F KENNEDY,ACIER OUELLETTE INC,SAINT-JEROME,QC,CA,J7Y 4B6
PPD Australia,,7007285,22 CORPORATE BOULEVARD,Whelan Springs,BAYSWATER,VIC,AU    ,3153
CASS,P,UNK,22 DUNKLEE RD,BILL JONES,BOW,NH,US,3304
SAP S4,SAP S4,04441BA,22 E DUDLEY TOWN RD,JACOBS MFG CO,BLOOMFIELD,CT,US,6002
BAAN,BAAN,04441BA,22 E.DUDLEY TOWN RD.,"JACOBS MANUFACTURING,CO.",BLOONFIELD,CT,US    ,6002
CASS,P,04441BA060,22 EAST DUDLEY TOWN RD,JACOBS VEHICLE SYSTEMS,BLOOMFIELD,CT,US,6002
PTS,,04441BA060,22 East Dudley Town Rd,Jacobs Vehicle Systems,BLOOMFIELD,CT,USA,6002
SAP S4,SAP S4,300828,22 HARBOR AVENUE,CS UNITEC INC,NORWALK,CT,US,6850
CASS,T,UNK,22 INDUSTRIAL RD,AAF INTERNATIONAL,ELIZABETHTOWN,PA,US,17022
PPD Australia,,7001591,22 LAW COURT,INDUSTRIAL BRUSHWARE,Sunshine,VIC,AU    ,3020
CASS,T,11430AB,22 MARIETTA PK,AIRGAS GREAT LAKES,CHILLICOTHE,OH,US,45601
PTS,,11430AB,22 MARIETTA PK,AIRGAS GREAT LAKES,CHILLICOTHE,OH,USA,45601
SAP S4,SAP S4,305109,22 MARIETTA ROAD,AIRGAS INC,CHILLICOTHE,OH,US,45601
CASS,P,UNK,22 NIGHINGALE AVENUE,REPUBLIC SERVICES,QUINCY,MA,US,2169
SAP S4,SAP S4,304095,22 PELICAN WAY,SUNSET TRADING CO,SAN RAFAEL,CA,US,94901
CASS,P,UNK,22 PEPSI WAY,DURHAM PENTZ,DURHAM,CA,US,95938
CASS,W,6711,22 REMAR CT,A G MACHINE TOOL GROUP,AUBURN,NH,US,3032
PTS,,6711,22 REMAR CT,A & G MACHINE TOOL GROUP,AUBURN,NH,USA,3032
SAP S4,SAP S4,306833,22 RUTHMAN DR,GUSHER PUMPS,DRY RIDGE,KY,US,41035
SAP S4,SAP S4,W874,22 STANLEY ST,TCW,NASHVILLE,TN,US,37210
SAP S4,SAP S4,300701,22 STANLEY STREET,TCW INC,NASHVILLE,TN,US,37210-0000
CASS,P,UNK,22 VANLEY CRESEANT,METRO COLLSION CENTRE,TORONTO,ON,CA,M3J2B8
CASS,W,UNK,22 WOOD GLEN FARM RD,SLICK,COGAN STATION,PA,US,17728
CASS,P,UNK,220 11TH STREET SE,TRU BILT INDUSTRIES,MENAHGA,MN,US,56464
CASS,T,UNK,220 13155 DELF PLACE,CORVUS ENERGY,RICHMOND,BC,CA,V6V2A2
CASS,P,FEDEXTERM,220 26229 TOWNSHIP ROAD,FEDEX FREIGHT,ACHESON,AB,CA,T7X5A4
CASS,T,50206AA,220 4TH AVE,QUICKSTART PRODUCTS SOLUTIONS,ROCHELLE,IL,US,61068
PTS,,50206AA,220 4TH AVE,QUICKSTART PRODUCTS & SOLUTIONS INC,ROCHELLE,IL,USA,61068
CASS,P,UNK,220 65TH AVE,AMERICRETE,MERIDIAN,MS,US,39307
CASS,P,UNK,220 AURORA AVE,WASTE MANAGEMENT,SAINT LOUIS,MO,US,63147
CASS,T,UNK,220 COUNTY RD 9,MARRIETA TRANSFER,MARIETTA,OH,US,45750
PTS,,6437,220 EAST  ST. ELMO ROAD,"DELSTAR TECHNOLOGIES, INC.",AUSTIN,TX,USA,78745
CASS,P,UNK,220 EAST CARSON STREET,AZ WEST CARSON STREET,LONG BEACH,CA,US,90810
CASS,W,6437,220 EAST ST ELMO ROAD,DELSTAR TECHNOLOGIES INC,AUSTIN,TX,US,78745
CASS,W,4013,220 EAST ST ELMO ROAD,NALLE PLASTICS INC,AUSTIN,TX,US,78745
PTS,,4013,220 EAST ST. ELMO,"NALLE PLASTICS, INC (SEE 6437)",AUSTIN,TX,USA,78745
SAP S4,SAP S4,302181,220 EAST SYCAMORE STREET,TRT COMMUNICATIONS INC,DENTON,TX,US,76201-0000
CASS,T,04088AF,220 FOX DRIVE,CONSOLIDATED METCO INC,PIQUA,OH,US,45356
SAP S4,SAP S4,04088AF,220 FOX DRIVE,CONSOLIDATED METCO INC MVP,PIQUA,OH,US,45356
PTS,,587,220 HERSHEY ST / P O BOX 277,DAREX CORP,ASHLAND,OR,USA,97520
CASS,W,587,220 HERSHEY ST PO BOX 277,DAREX CORP,ASHLAND,OR,US,97520
CASS,P,UNK,220 INDUSTRIAL BLVD,DALTON TRUCK BODY,DALTON,GA,US,30720
SAP S4,SAP S4,T251,220 KELLY RD,FITZGERALD PB OF FANCY GAP,FANCY GAP,VA,US,24328
CASS,P,B263,220 KELLY RD,PERFORMANCE PB OF SW VIRGINA,FANCY GAP,VA,US,24328
PTS,,T251,220 Kelly Road,Fizgerald PB of Fancy Gap,FANCY GAP,VA,USA,24328
SAP S4,SAP S4,19968AA,220 LAFLEUR,TOTAL LUBRICANTS CANADA,LASALLEL,QC,CA,H8R 4C9
CASS,T,19968AA,220 LAFLEUR AVENUE,TOTAL LUBRICANTS CANADA,LASALLE,QC,CA,H8R4C9
PTS,,19968AA,220 LAFLEUR AVENUE,TOTAL LUBRICANTS CANADA,LASALLE,QC,CA    ,H8R4C9
SAP S4,SAP S4,304811,220 LEIGH FARM RD,AMERICAN INST OF CPA,DURHAM,NC,US,27707
CASS,P,UNK,220 MILL RD,UTI FREIGHT FORWARDING,EDISON,NJ,US,8817
CASS,P,P856 300,220 MILL ROAD,UTI FREIGHT FORWARDING,EDISON,NJ,US,8817
CASS,W,1847,220 N COMMERCE PL,STANDARD SHEET METAL WORKS,PEORIA,IL,US,61604
Winch,,1847,220 N COMMERCE PL,STANDARD SHEET METAL WORKS,PEORIA,IL,US,61604
PTS,,1847,220 N COMMERCE PL,STANDARD SHEET METAL WORKS,PEORIA,IL,USA,61604
CASS,P,UNK,220 ORLAN RD,CLASS EIGHT PARTS INC,NEW HOLLAND,PA,US,17557
CASS,W,3796,220 S EAGLE LANE,MIDLAND MACHINE TOOLS INC,OKLAHOMA CITY,OK,US,73128
CASS,T,08194FE,220 S PROGRESS DRIVE W 08194,HENDRICKSON TRUCK SUSPENSION,KENDALLVILLE,IN,US,46755
CASS,P,01894FC605A,220 S PROGRESS DRIVE WEST,HENDRICKSON TRUCK SUSPENSION,KENDALLVILLE,IN,US,46755
CASS,P,UNK,220 S RAILROAD AVE,ONEIL DIESEL SERVICE,ELLENSBURG,WA,US,98926
PTS,,3796,220 S. EAGLE LANE,"MIDLAND MACHINE TOOLS, INC",OKLAHOMA CITY,OK,USA,73128
PTS,,01894FC605A,220 S. Progress Drive West,Hendrickson Truck Suspension-220,KENDALLVILLE,IN,USA,46755
SAP S4,SAP S4,302627,220 TROWBRIDGE ROAD,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,US,48824
CASS,P,UNK,220 W 5TH ST,PYRAMID PLASTICS INC,HOPE,AR,US,71801
