pec,Material,Description
pec,2107874,"Pipe,coolant,00-11"
pec,2108347,"Stud,shouldered,metr"
pec,2108512,Flywheel housing
pec,2109555,Electronic unit
pec,2110623,Housing
pec,2110630,"Hose,special"
pec,2110633,"Pin,connecting"
pec,2110640,Cyl.block.pre-assy.
pec,2110806,"Bracket,elect.eqpt."
pec,2111031,"Pipe,coolant,11-31"
pec,2111239,"Bracket,clamp.spec."
pec,2112201,"Ring,sealing"
pec,2112202,"Ring,sealing"
pec,2112205,"Valve,inlet,cyl.head"
pec,2112206,"Valve,exh.cyl.head"
pec,2112207,"Valve,exh.cyl.head"
pec,2112272,Sensor/switch temp.-
pec,2112287,"Bracket,elect.eqpt."
pec,2112481,Camshaft
pec,2113691,"Spring clip,fixing"
pec,2114383,"Bolt,flange-lock.cd"
pec,2114882,"Plate,guard"
pec,2115000,"Piston set,engine"
pec,2115212,Cyl.block.pre-assy.
pec,2115424,Cylinder head
pec,2117464,Turbocharger unit
pec,2117494,"Pipe,fuel system"
pec,2117496,"Pipe,fuel system"
pec,2117705,"Wiring harness,eng."
pec,2117832,Bridge valve train
pec,2118303,"Hose,special"
pec,2118305,"Pipe,compressor"
pec,2118306,"Pipe,compressor"
pec,2118307,"Hose,presh,rub,coola"
pec,2118308,"Rubber hose, coolant"
pec,2118312,"Silencer,air inlet"
pec,2118329,Strap
pec,2118330,"Pipe,compressor"
pec,2118331,"Pipe,compressor"
pec,2118332,"Hose,presh,rub,coola"
pec,2118333,"Hose,presh,rub,coola"
pec,2118375,"Block,clamping-"
pec,2118376,Lifting eye
pec,2118381,Flywheel
pec,2118385,"Line,air breather"
pec,2118405,Cover
pec,2118425,"Pipe,fuel system"
pec,2118432,"Bracket,air inlet"
pec,2118688,"Plate,fix.devd.th2-4"
pec,2118902,Bridge valve train
pec,2118926,"Bolt,flange-lock.cd"
pec,2118984,"Manifold,exhaust"
pec,2118986,"Bolt,flange-smooth"
pec,2118987,"Bolt,flange-smooth"
pec,2119259,"Bracket,cooling syst"
pec,2119774,Injector sleeve
pec,2119935,"Sensor, gas"
pec,2119950,Injector
pec,2120116,"Bracket,elect.eqpt."
pec,2120190,"Gasket,exhaust"
pec,2120831,"Wiring harness,eng."
pec,2121051,"Clip,hose/pipe"
pec,2121398,"Ring,O-"
pec,2121411,"Compressor,air"
pec,2121412,"Compressor,air"
pec,2121503,"Bracket,engine"
pec,2121512,"Damper,vibration"
pec,2121779,"Unit,lubrication"
pec,2121993,Ppc-male
pec,2122135,"Line,air breather"
pec,2123260,"Block,clamping-"
pec,2123993,"Valve,control"
pec,2123994,"Valve,control"
pec,2123995,"Valve,control"
pec,2124267,Cover
pec,2124403,"Pipe,fuel system"
pec,2124404,"Pipe,fuel system"
pec,2124547,Engine brake
pec,2124729,"Manifold,exhaust"
pec,2124730,"Manifold,exhaust"
pec,2125074,Conn.piece with seal
pec,2125762,Cylinder head
pec,2125763,Cylinder head
pec,2126043,Gear wheel
pec,2126044,Gear wheel
pec,2126046,Gear wheel
pec,2126047,Gear wheel
pec,2126146,"Separator,oil"
pec,2126303,"Pump,water"
pec,2126308,"Pump,water"
pec,2126626,Camshaft
pec,2126627,Camshaft
pec,2126628,Camshaft
pec,2126661,Ppc-male
pec,2126769,"Bracket,elect.eqpt."
pec,2126790,Camshaft
pec,2126981,Sensor/switch press-
pec,2127001,"Compressor,air"
pec,2127002,"Compressor,air"
pec,2127034,"Pipe,coolant,00-11"
pec,2127215,"Pipe,fuel system"
pec,2127216,"Pipe,fuel system"
pec,2127217,"Pipe,fuel system"
pec,2127218,"Pipe,fuel system"
pec,2127237,"Pump,oil"
pec,2127347,"Bolt,banjo-"
pec,2127356,Sensor/switch press-
pec,2127357,Sensor/switch press-
pec,2127358,Sensor/switch press-
pec,2127478,"Pipe,coolant,00-11"
pec,2128129,"Pipe,coolant,11-31"
pec,2128138,Turbocharger unit
pec,2128139,Turbocharger unit
pec,2128145,"Valve,control"
pec,2128149,"Pipe,air inlet syst."
pec,2128150,Turbocharger unit
pec,2128151,Turbocharger unit
pec,2128461,"Pipe,coolant,00-11"
pec,2128557,"Pipe,coolant,11-31"
pec,2128692,"Bracket,fuel syst."
pec,2128693,"Bracket,fuel syst."
pec,2128694,"Bracket,fuel syst."
pec,2128860,"Valve,control"
pec,2128862,"Valve,control"
pec,2128864,"Valve,control"
pec,2128866,"Valve,control"
pec,2128867,"Valve,control"
pec,2128868,"Valve,control"
pec,2128939,Connecting bend
pec,2129157,Engine brake
pec,2130899,Bonded seal
pec,2131150,Valve train casing
pec,2131567,"Nozzle,oil"
pec,2132320,"Bracket,air inl.eng."
pec,2132480,"Ring,O-"
pec,2132485,Gasket general
pec,2132521,Sensor/switch press-
pec,2132582,"Piston set,engine"
pec,2132736,"Pump,oil"
pec,2132928,"Pump,oil"
pec,2133324,"Clip,pipe-1-6 lines"
pec,2133334,"Pipe,compressor"
pec,2133335,"Pipe,compressor"
pec,2133336,"Stud,shouldered,metr"
pec,2133337,"Pipe,compressor"
pec,2133339,"Bracket,elect.eqpt."
pec,2133996,"Valve,exh.cyl.head"
pec,2134899,"Pipe,coolant,11-31"
pec,2135132,"Pipe,compressor"
pec,2135133,"Pipe,compressor"
pec,2135209,"Bolt,flange-smooth"
pec,2135321,"Spring clip,fixing"
pec,2136144,"Pipe,coolant,00-11"
pec,2137173,Strap
pec,2137593,Sensor/switch press-
pec,2138143,"Gasket,exhaust"
pec,2138144,Gasket general
pec,2138536,Guide
pec,2138755,"Bush,adapter"
pec,2139330,Bridge valve train
pec,2139800,"Compressor,air"
pec,2139938,"Bracket,engine"
pec,2139939,"Bracket,engine"
pec,2140092,"Rubber hose, coolant"
pec,2140158,"Pipe,coolant,00-11"
pec,2140216,"Line,air breather"
pec,2140380,"Pipe,fuel system"
pec,2140521,"Pipe,coolant,00-11"
pec,2140648,Tension pulley
pec,2140702,"Bracket,engine"
pec,2140903,"Bracket,elect.eqpt."
pec,2140940,"Pipe,coolant,00-11"
pec,2140991,"Pipe,sensor"
pec,2140992,"Pipe,sensor"
pec,2140993,"Pipe,sensor"
pec,2140994,"Pipe,sensor"
pec,2141598,"Bracket,elect.eqpt."
pec,2141908,"Bracket,elect.eqpt."
pec,2142610,Heat shield
pec,2142938,"Bracket,EGR"
pec,2143061,Tension pulley
pec,2144192,Strap
pec,2144193,"Pipe,compressor"
pec,2144194,"Pipe,compressor"
pec,2144302,Rocker arm group
pec,2144303,Rocker arm group
pec,2144944,"Wiring harness,eng."
pec,2144945,"Wiring harness,eng."
pec,2145185,Strap
pec,2145586,Flange pipe coupling
pec,2146035,Plug
pec,2146346,Cylinder head
pec,2146570,Valve train casing
pec,2146752,"Unit,lubrication"
pec,2146810,"Wiring harness,eng."
pec,2146811,"Wiring harness,eng."
pec,2146844,"Cover,valve"
pec,2146849,"Bracket,elect.eqpt."
pec,2146987,"Wiring harness,eng."
pec,2147402,"Line,air breather"
pec,2147434,"Pipe,coolant,00-11"
pec,2147686,"Unit,lubrication"
pec,2148393,"Pipe,air inlet syst."
pec,2149055,Tension pulley
pec,2149748,Push rod
pec,2151494,"Bolt,flange-smooth"
pec,2151522,"Seal ring,crankshaft"
pec,2151788,"Wiring harness,eng."
pec,2153275,"Block,clamping-"
pec,2153522,Gear wheel
pec,2153692,Hub
pec,2153770,"Bracket,mounting"
pec,2154313,Oil pan
pec,2154314,Oil pan
pec,2154633,Cylinder head
pec,2156301,"Unit,lubrication"
pec,2156502,"Seal ring,crankshaft"
pec,2156694,"Line,air breather"
pec,2156710,Coup.q.rel.fml.
pec,2156973,"Bracket,elect.eqpt."
pec,2157845,Engine brake
pec,2158046,"Bracket,elect.eqpt."
pec,2159710,"Bracket,ang.90 degs."
pec,2159858,"Separator,oil"
pec,2159859,Heat shield
pec,2160362,Rocker arm group
pec,2160391,Connector parts
pec,2162359,"Valve,control"
pec,2162360,"Valve,control"
pec,2162361,"Valve,control"
pec,2162674,"Unit,lubrication"
pec,2162691,"Pump,power steering"
pec,2162717,"Valve,control"
pec,2162724,"Pipe,compressor"
pec,2162785,"Ring,sealing"
pec,2163001,Power take off assy.
pec,2163002,Power take off assy.
pec,2163988,"Pipe,oil"
pec,2163989,"Pipe,oil"
pec,2163990,"Pipe,oil"
pec,2164457,"Filter,fuel"
pec,2164460,"Filter,fuel"
pec,2164461,"Filter,fuel"
pec,2164501,Cyl.block.pre-assy.
pec,2165083,Turbocharger unit
pec,2165088,Turbocharger unit
pec,2165153,Cyl.block.pre-assy.
pec,2181734,"Seal ring,crankshaft"
pec,2181735,"Seal ring,crankshaft"
pec,2182962,"Washer,plain-hard"
pec,2183414,"Band,fixing"
pec,2183416,"Band,fixing"
pec,2183697,Spring cap
pec,2184059,"Filter,fuel"
pec,2184182,Flywheel housing
pec,2184184,Flywheel housing
pec,2184209,"Cover,cyl.block"
pec,2184212,Flywheel housing
pec,2184938,Cylinder head
pec,2184939,Cylinder head
pec,2184940,Cylinder head
pec,2184943,Cylinder head
pec,2184944,Cylinder head
pec,2185157,"Pipe,coolant,11-31"
pec,2189909,Connecting piece
pec,2192504,"Pipe,coolant"
pec,2192583,Conn.piece with seal
pec,2192934,"Valve,control"
pec,2194632,"Pipe,coolant"
