pec,Material,Description
pec,1675249,Bridge valve train
pec,1680503,"Plug,sealing-"
pec,1682176,"Pin,connecting"
pec,1682342,Conn.piece with seal
pec,1682505,Gear wheel
pec,1684828,"Bush, 0-20.0 o.d."
pec,1686194,"Stud,shouldered,metr"
pec,1687103,"Washer,plain-hard"
pec,1687333,"Cap, protection"
pec,1689286,Hub
pec,1689473,"Washer,thrust"
pec,1694591,"Pin,davel-cyl."
pec,1697921,Pin
pec,1726047,"Bolt,flange-10.9"
pec,1726048,"Stud,cyl.,metr."
pec,1733593,Flywheel
pec,1734441,"Plug,sealing-"
pec,1734442,"Plug,sealing-"
pec,1734575,"Stud,shouldered,metr"
pec,1736755,Thrustwshr.crankshft
pec,1737232,"Plate,blanking"
pec,1737233,"Plate,blanking"
pec,1738898,"Bracket,elect.eqpt."
pec,1740852,"Strap,clmpg.plast."
pec,1741502,Valve seat cyl.head
pec,1743262,Bolt/screw-thd. roll
pec,1778068,"Plate,flexible"
pec,1778623,"Plug,sealing-"
pec,1778700,"Cap, protection"
pec,1779100,"Pin,cylindrical"
pec,1780418,"Clip,pipe-1-6 lines"
pec,1780809,Engine bearing shell
pec,1781714,Gasket general
pec,1783501,"Ring,O-"
pec,1783648,"Spring,valve,engine"
pec,1783650,"Key,valve"
pec,1783796,"Bush, 0-20.0 o.d."
pec,1783976,"Ring,O-"
pec,1785085,"Cap,filler pipe"
pec,1785878,"Cap, protection"
pec,1785879,"Cap, protection"
pec,1785880,"Cap, protection"
pec,1786103,"Gasket,exhaust"
pec,1786142,Gasket general
pec,1786758,"Gasket,pipe flange"
pec,1789299,Housing
pec,1789468,"Bolt,flange-smooth"
pec,1789518,"Bolt,flange-10.9"
pec,1791123,"Bracket,locking"
pec,1798137,Sensor/switch temp.-
pec,1798947,Power take off assy.
pec,1800587,Element
pec,1805059,Flywheel
pec,1805278,"Washer,thrust"
pec,1805902,Flywheel housing
pec,1806787,Injector sleeve
pec,1808631,Connector parts
pec,1812844,"Bolt,flange-smooth"
pec,1814486,"Strap,clmpg.plast."
pec,1819063,"Spring,valve,engine"
pec,1819065,"Ring,sealing"
pec,1819929,"Spring clip,fixing"
pec,1820961,Ppc-male
pec,1821685,"Spring,valve,engine"
pec,1822165,"Bolt,main bear.cap"
pec,1822166,"Bolt,cylinder head"
pec,1822717,"Stud,shouldered,metr"
pec,1822941,"Bolt,flange-smooth"
pec,1824510,Dipstick tube
pec,1825283,Spring cap
pec,1825888,Sens/switch motion-
pec,1827058,Sensor/switch temp.-
pec,1827930,"Cap, protection"
pec,1830958,"Stud,shouldered,metr"
pec,1832311,"Valve,feed"
pec,1833059,Bolt/screw capt.wshr
pec,1833330,Valve guide
pec,1834020,Valve seat cyl.head
pec,1835659,"Spring clip,fixing"
pec,1836989,"Bolt,flange-10.9"
pec,1837775,Gear wheel
pec,1837778,Gear wheel
pec,1840701,"Clip,pipe-1-6 lines"
pec,1840905,Bolt/screw capt.wshr
pec,1843659,"Cartridge,coolant"
pec,1843816,"Cap, protection"
pec,1844101,Sensor/switch temp.-
pec,1844625,Bonded seal
pec,1844920,Connector parts
pec,1850087,"Spring,valve,engine"
pec,1853698,"Pump,power steering"
pec,1854424,Connector parts
pec,1854705,"Pin,shear/break bolt"
pec,1854706,"Pin,shear/break bolt"
pec,1856324,Cylinder liner
pec,1856559,Connector parts
pec,1857221,"Stud,shouldered,metr"
pec,1857222,"Stud,shouldered,metr"
pec,1857228,"Stud,shouldered,metr"
pec,1857229,"Stud,shouldered,metr"
pec,1858032,Bonded seal
pec,1858035,Bonded seal
pec,1858036,Bonded seal
pec,1858037,Bonded seal
pec,1858038,Bonded seal
pec,1858039,Bonded seal
pec,1858464,"Pin,connecting"
pec,1858819,Engine bearing shell
pec,1860417,"Pipe,flexible"
pec,1860775,"Washer,plain-hard"
pec,1863266,Conn.piece with seal
pec,1863980,Conn.piece with seal
pec,1864977,Connector parts
pec,1866039,"Pin,connecting"
pec,1866629,"Pin,connecting"
pec,1866811,"Stud,shouldered,metr"
pec,1867257,Tappet
pec,1869392,Connector parts
pec,1869393,Connector parts
pec,1870243,"Strap,clmpg.plast."
pec,1872095,"Gasket,exhaust"
pec,1872137,"Plate,flexible"
pec,1872256,"Bolt,flange-smooth"
pec,1873020,Sensor/switch temp.-
pec,1873279,"Bolt,flange-smooth"
pec,1873490,"Clip,hose/pipe"
pec,1874697,"Key,valve"
pec,1875538,Connector parts
pec,1876189,"Seal ring,crankshaft"
pec,1876190,"Seal ring,crankshaft"
pec,1876833,"Clip,hose/pipe"
pec,1877877,"Strap,tightening"
pec,1877878,"Strap,tightening"
pec,1878095,"Stud,shouldered,metr"
pec,1880063,Gasket general
pec,1880151,"Bolt,flange-smooth"
pec,1880156,"Pipe,fuel injection"
pec,1880157,"Pipe,fuel injection"
pec,1882709,Badge
pec,1884282,"Ring,O-"
pec,1885471,"Cover,valve"
pec,1885524,"Pump,power steering"
pec,1885525,"Pump,power steering"
pec,1885526,"Pump,power steering"
pec,1885695,"Pipe,oil filling"
pec,1885701,"Pipe,sensor"
pec,1885707,"Bracket,fuel syst."
pec,1885741,"Bracket,exh.,engine"
pec,1885744,Exhaust pipe
pec,1885765,"Bracket,air inl.eng."
pec,1885766,"Hose,m40213/40214"
pec,1885848,"Hose,m40213/40214"
pec,1885852,"Pipe,oil"
pec,1885859,"Pipe,fuel system"
pec,1886101,"Bracket,exh.,engine"
pec,1886111,"Gasket,exhaust"
pec,1887206,Roller guide V-belt
pec,1887222,"Bracket,alternator"
pec,1887224,"Cover,cyl.block"
pec,1887273,"Cap, protection"
pec,1889400,Coup.q.rel.ml.
pec,1889581,"Spring clip,fixing"
pec,1889692,Connecting piece
pec,1889715,"Bolt,flange-smooth"
pec,1889796,"Valve,control"
pec,1889877,Dipstick tube
pec,1889878,Dipstick tube
pec,1890245,"Bracket,elect.eqpt."
pec,1891524,"Hose,special"
pec,1891814,"Hose nozzle,ml./fml."
pec,1891858,"Stud,shouldered,metr"
pec,1892359,"Cooler, egr-"
pec,1892919,"Line,air breather"
pec,1893478,Sensor/switch temp.-
pec,1893488,"Bolt,flange-smooth"
pec,1893775,Roller guide V-belt
pec,1894531,"Bolt,flange-smooth"
pec,1894764,"Gasket,pipe flange"
pec,1895803,"Pump,power steering"
pec,1895972,"Bolt,flange-smooth"
pec,1896312,Accs.heating coil
pec,1896527,Spring cap
pec,1898180,"Stud,shouldered,metr"
pec,1899998,"Gasket,exhaust"
pec,1900070,Heat shield
pec,1900260,"Plug,sealing-"
pec,1900265,"Bolt,flange-smooth"
pec,1901284,Bolt/screw capt.wshr
pec,1901538,"Pipe,flexible"
pec,1901809,"Spring clip,fixing"
pec,1901899,"Bolt,cylinder head"
pec,1902689,Coup.q.rel.fml.
pec,1903436,"Strap,clmpg.plast."
pec,1905210,"Wiring harness,eng."
pec,1905461,"Bolt,flange-smooth"
pec,1905548,"Pipe,fuel system"
pec,1905563,Lifting eye
pec,1905795,"Strap,clmpg.plast."
pec,1906238,"Pulley,v-belt"
pec,1906428,"Stud,shouldered,metr"
pec,1906483,Gear wheel
pec,1906763,Gear wheel
pec,1907301,"Ring,anti polishing"
pec,1907399,"Gasket,air inlet"
pec,1907984,"Pulley,toothed belt"
pec,1908086,"Bush, 0-20.0 o.d."
pec,1910323,"Spring clip,fixing"
pec,1910628,"Pipe,air inlet syst."
pec,1911472,"Ring,O-"
pec,1911776,Adaptor
pec,1911868,Camshaft
pec,1911869,Camshaft
pec,1911870,Camshaft
pec,1912044,"Stud,shouldered,metr"
pec,1913109,"Pipe,coolant,51-"
pec,1913651,"Stud,shouldered,metr"
pec,1913718,"Bolt,flange-lock.cd"
pec,1913732,"Bracket,locking"
pec,1913734,"Ring,sealing"
pec,1913735,"Gasket,exhaust"
pec,1914142,Valve seat cyl.head
pec,1914143,Valve seat cyl.head
pec,1914474,fuel rail
pec,1915962,"Spring clip,fixing"
pec,1916267,"Bracket,air inl.eng."
pec,1916496,"Stud,shouldered,metr"
pec,1916724,Flywheel
pec,1917011,"Gasket,exhaust"
pec,1917012,"Gasket,pipe flange"
pec,1917284,"Bracket,elect.eqpt."
pec,1917480,"Stud,shouldered,metr"
pec,1917528,"Stud,shouldered,metr"
pec,1917870,"Gasket,exhaust"
pec,1917944,"Bracket,elect.eqpt."
pec,1917974,"Bracket,elect.eqpt."
pec,1918028,"Bracket,elect.eqpt."
pec,1918067,"Bracket,elect.eqpt."
pec,1918077,"Bracket,elect.eqpt."
pec,1918083,"Bracket,elect.eqpt."
pec,1918089,"Bracket,elect.eqpt."
pec,1918097,"Bracket,elect.eqpt."
pec,1918644,Heat shield
pec,1919017,"Coupling piece,strt."
pec,1919200,"Pipe,oil filling"
pec,1919784,"Pipe,air inlet syst."
pec,1919888,"Manifold,exhaust"
pec,1920127,"Bush,50-     o.d."
pec,1920584,"Ring,O-"
pec,1921308,"Plate,blanking"
pec,1921309,"Pipe,oil"
pec,1921560,Holder
pec,1921561,"Line,air breather"
pec,1921652,Cylinder liner
pec,1921655,"Ring,anti polishing"
pec,1921726,"Bracket,EGR"
pec,1921728,Screw external torx
pec,1921785,Ppc-male
pec,1921811,Cover
pec,1922080,"Ring,O-"
pec,1922082,"Ring,O-"
pec,1922163,"Cooler, egr-"
pec,1922514,"Spring clip,fixing"
pec,1922629,"Bolt,flange-lock.cd"
pec,1922641,"Bolt,banjo-"
pec,1922642,"Bolt,banjo-"
pec,1922643,"Bolt,banjo-"
pec,1922645,"Bolt,banjo-"
pec,1922646,"Bolt,banjo-"
pec,1923003,"Gasket,air inlet"
pec,1923376,"Seal ring,crankshaft"
pec,1923380,"Seal ring,crankshaft"
pec,1923947,"Pipe,sensor"
pec,1924018,"Nozzle,oil"
pec,1924508,"Plate,fix.devd.th2-4"
pec,1924543,Connector parts
pec,1925276,"Pipe,sensor"
pec,1925443,"Bracket,mounting"
pec,1925803,Accs.heating coil
pec,1926048,"Pipe,compressor"
pec,1926327,Airbr.cs.cl.unit eng
pec,1926342,Cyl.block.pre-assy.
pec,1926343,"Bush, 0-20.0 o.d."
