Name,Search Term,Address,Postal,City,Country,Region,Language,SCAC
P and P Trucking Inc,PPRK,2807 QUALITY DR,72143,SEARCY,US,AR,EN,PPRK
P&S Transportation Inc,PSTO,1810 Avenue C,35218,Ensley,US,AL,EN,PSTO
Pegasus Transportation,PGSI,2903 S English Station Road,40299,Louisville,US,KY,EN,PGSI
Peninsula Transport Inc.,PENS,1010 S. 336th St. Suite 202,98003,Federal Way,US,WA,EN,PENS
Purolator Courier Ltd.,PRLA,5995 Avebury Road,L5R 3P9,Mississauga,CA,ON,EN,PRLA
R+L Carriers,GMLS,600 Gillam Rd,45177,Wilmington,US,OH,EN,GMLS
Rich Logistics,RHLO,6011 Scott Hamilton Drive,72209,Little Rock,US,AR,EN,RHLO
Riverside Transport,RVTS,4001 Kansas Avenue,66106,Kansas City,US,KS,EN,RVTS
Schneider National Inc,SCNN,3101 S. Packerland Drive,54313,Green Bay,US,WI,EN,SCNN
Silver Arrow Express,SIAW,3814 11th St,61109,Rockford,US,IL,EN,SIAW
Southland Transportation,SLDD,PO Box 99 - 7925 hwy 601 N,27011,Boonville,US,NC,EN,SLDD
Stallion Transportation,SLXA,2102 N. Main,72012,Beebe,US,AR,EN,SLXA
Swift Transportation Services LLC,SWFT,2200 S. 75th Ave,85043,Phoenix,US,AR,EN,SWFT
TBM Carriers Inc,TBMC,4241 E. Piedras Dr. Ste. 200,78228,San Antonio,US,TX,EN,TBMC
Transco Lines,TLIN,P.o. Box 1400,72811,Russellville,US,AR,EN,TLIN
Transport America,TCAM,1715 Yankee Doodle Road,55121,Eagan,US,MN,EN,TCAM
Transport Couture & Fils Lte,TCFP,"99, Route 271, Sud",G0M 1R0,Saint-Ephrem,CA,QC,EN,TCFP
Transport Papineau,PAPI,851 boul. Roland-Godard,J7Y 4C2,Saint-Jérôme,CA,QC,EN,PAPI
TransX Group,TNXL,2595 Inkster Blvd.,R3C 2E6,Winnipeg,CA,MB,EN,TNXL
U S Xpress Inc,USXI,4080 Jenkins Road,37421,Chattanooga,US,TN,EN,USXI
UPS,UPGF,1000 Semmes Ave,23224,Richmond,US,VA,EN,UPGF
USF Holland,HMES,700 S Waverly Rd,49423,Holland,US,MI,EN,HMES
USF Reddaway,RETL,7720 SW Mohawk St Building H,98062,Tualatin,US,OR,EN,RETL
Van Kam Freightways,VKMF,10155 Grace Road,V3V 3V7,Surrey,CA,BC,EN,VKMF
Werner,WENP,14507 Frontier Rd,68138,Omaha,US,NE,EN,WENP
WALTS DRIVE A WAY SERVICE,WDAS,4600 Hitch and Peters Rd,47711,Evansville,US,IN,EN,WDAS
Western Express Inc.,WSXI,7135 Centennial Place,37209,Nashville,US,TN,EN,WSXI
Western Flyer Express LLC,WFLY,4050 West I-40 Service Rd,73108,Oklahoma City,US,OK,EN,WFLY
YRC Freight,RDWY,10990 Roe Ave,66211,Overland Park,US,KS,EN,RDWY
FEDEX FREIGHT - economy,FXNL,2200 Forward Drive,72601,Harrison,US,AR,EN,FXNL
R&L CARRIERS INC,RNLO,600 Gillam Rd,45177,Wilmington,US,OH,EN,RNLO
ANL CMA CGM LLC,ANL,5701 LAKE WRIGHT DRIVE,23502,NORFOLK,US,VA,EN,ANL
